"Gene","GO"
"orf19.5175","GO:0016740"
"orf19.4817","GO:0016740"
"orf19.4769","GO:0016740"
"orf19.5501","GO:0016740"
"orf19.4160","GO:0016740"
"orf19.5432","GO:0016740"
"orf19.1439","GO:0016740"
"orf19.1624","GO:0016740"
"orf19.5824","GO:0016740"
"orf19.3447","GO:0016740"
"orf19.1659","GO:0016740"
"orf19.5965","GO:0016740"
"orf19.6643","GO:0016740"
"orf19.4816","GO:0016740"
"orf19.2706","GO:0016740"
"orf19.6971","GO:0016740"
"orf19.5645","GO:0016740"
"orf19.2107","GO:0016740"
"orf19.1235","GO:0016740"
"orf19.1755","GO:0016740"
"orf19.5426","GO:0016740"
"orf19.2529","GO:0016740"
"orf19.5752","GO:0016740"
"orf19.1342","GO:0016740"
"orf19.2575","GO:0016740"
"orf19.4410","GO:0016740"
"orf19.3564","GO:0016740"
"orf19.7061","GO:0016740"
"orf19.1011","GO:0016740"
"orf19.4010","GO:0016740"
"orf19.4491","GO:0016740"
"orf19.5068","GO:0016740"
"orf19.5038","GO:0016740"
"orf19.7413","GO:0016740"
"orf19.414","GO:0016740"
"orf19.2250","GO:0016740"
"orf19.6674","GO:0016740"
"orf19.2951","GO:0016740"
"orf19.3616","GO:0016740"
"orf19.1233","GO:0016740"
"orf19.1085","GO:0016740"
"orf19.1674","GO:0016740"
"orf19.878","GO:0016740"
"orf19.2187","GO:0016740"
"orf19.2287","GO:0016740"
"orf19.5350","GO:0016740"
"orf19.6287","GO:0016740"
"orf19.4777","GO:0016740"
"orf19.4412","GO:0016740"
"orf19.2809","GO:0016740"
"orf19.3018","GO:0016740"
"orf19.1305","GO:0016740"
"orf19.4116","GO:0016740"
"orf19.1261","GO:0016740"
"orf19.1665","GO:0016740"
"orf19.1972","GO:0016740"
"orf19.3138","GO:0016740"
"orf19.7391","GO:0016740"
"orf19.5054","GO:0016740"
"orf19.2847","GO:0016740"
"orf19.4185","GO:0016740"
"orf19.4375","GO:0016740"
"orf19.6847","GO:0016740"
"orf19.6081","GO:0016740"
"orf19.1279","GO:0016740"
"orf19.2593","GO:0016740"
"orf19.5622","GO:0016740"
"orf19.4937","GO:0016740"
"orf19.2277","GO:0016740"
"orf19.5420","GO:0016740"
"orf19.4134","GO:0016740"
"orf19.2831","GO:0016740"
"orf19.1663","GO:0016740"
"orf19.5438","GO:0016740"
"orf19.6850","GO:0016740"
"orf19.449","GO:0016740"
"orf19.3171","GO:0016740"
"orf19.923","GO:0016740"
"orf19.5010","GO:0016740"
"orf19.4551","GO:0016740"
"orf19.3108","GO:0016740"
"orf19.4953","GO:0016740"
"orf19.1671","GO:0016740"
"orf19.1478","GO:0016740"
"orf19.969","GO:0016740"
"orf19.4232","GO:0016740"
"orf19.2697","GO:0016740"
"orf19.5608","GO:0016740"
"orf19.2045","GO:0016740"
"orf19.7612","GO:0016740"
"orf19.7298","GO:0016740"
"orf19.4801","GO:0016740"
"orf19.721","GO:0016740"
"orf19.3899","GO:0016740"
"orf19.3345","GO:0016740"
"orf19.4699","GO:0016740"
"orf19.1092","GO:0016740"
"orf19.4788","GO:0016740"
"orf19.6884","GO:0016740"
"orf19.2360","GO:0016740"
"orf19.829","GO:0016740"
"orf19.5195","GO:0016740"
"orf19.5949","GO:0016740"
"orf19.6046","GO:0016740"
"orf19.1557","GO:0016740"
"orf19.1217","GO:0016740"
"orf19.797","GO:0016740"
"orf19.7366","GO:0016740"
"orf19.4760","GO:0016740"
"orf19.6010.1","GO:0016740"
"orf19.5792","GO:0016740"
"orf19.7069","GO:0016740"
"orf19.6071","GO:0016740"
"orf19.5641","GO:0016740"
"orf19.3099","GO:0016740"
