"Gene","GO"
"CAGL0A00165g","GO:0003674"
"CAGL0A00165g","GO:0005575"
"CAGL0A00165g","GO:0008150"
"CAGL0A00187g","GO:0005575"
"CAGL0A00187g","GO:0008150"
"CAGL0A00187g","GO:0046872"
"CAGL0A00209g","GO:0004576"
"CAGL0A00209g","GO:0046872"
"CAGL0A00209g","GO:0004579"
"CAGL0A00209g","GO:0006486"
"CAGL0A00209g","GO:0006487"
"CAGL0A00209g","GO:0008250"
"CAGL0A00209g","GO:0016020"
"CAGL0A00209g","GO:0016021"
"CAGL0A00209g","GO:0016740"
"CAGL0A00209g","GO:0016757"
"CAGL0A00341g","GO:0001561"
"CAGL0A00341g","GO:0005575"
"CAGL0A00341g","GO:0016020"
"CAGL0A00341g","GO:0016021"
"CAGL0A00341g","GO:0046521"
"CAGL0A00341g","GO:0102672"
"CAGL0A00517g","GO:0000166"
"CAGL0A00517g","GO:0016020"
"CAGL0A00517g","GO:0016887"
"CAGL0A00517g","GO:0019829"
"CAGL0A00517g","GO:0022890"
"CAGL0A00517g","GO:0055085"
"CAGL0A00517g","GO:0070588"
"CAGL0A00517g","GO:0071627"
"CAGL0A00517g","GO:0098662"
"CAGL0A00517g","GO:0110165"
"CAGL0A00517g","GO:0000329"
"CAGL0A00517g","GO:0005215"
"CAGL0A00517g","GO:0005388"
"CAGL0A00517g","GO:0005524"
"CAGL0A00517g","GO:0006811"
"CAGL0A00517g","GO:0006816"
"CAGL0A00517g","GO:0006874"
"CAGL0A00517g","GO:0015662"
"CAGL0A00627g","GO:0003674"
"CAGL0A00627g","GO:0005737"
"CAGL0A00627g","GO:0006888"
"CAGL0A00627g","GO:0016020"
"CAGL0A00627g","GO:0016021"
"CAGL0A00781g","GO:0005515"
"CAGL0A00781g","GO:0006623"
"CAGL0A00847g","GO:0002100"
"CAGL0A00847g","GO:0003824"
"CAGL0A00847g","GO:0006139"
"CAGL0A00847g","GO:0006400"
"CAGL0A00847g","GO:0008251"
"CAGL0A00847g","GO:0016814"
"CAGL0A00847g","GO:0052718"
"CAGL0A00869g","GO:0000333"
"CAGL0A00869g","GO:0005697"
"CAGL0A00869g","GO:0005730"
"CAGL0A00869g","GO:0007004"
"CAGL0A00869g","GO:0016740"
"CAGL0A00869g","GO:0016779"
"CAGL0A00869g","GO:0042162"
"CAGL0A00869g","GO:0046872"
"CAGL0A00869g","GO:0090399"
"CAGL0A00869g","GO:0000781"
"CAGL0A00869g","GO:0001302"
"CAGL0A00869g","GO:0003677"
"CAGL0A00869g","GO:0003720"
"CAGL0A00869g","GO:0003721"
"CAGL0A00869g","GO:0003964"
"CAGL0A00869g","GO:0005634"
"CAGL0A00869g","GO:0005694"
"CAGL0A00935g","GO:0000349"
"CAGL0A00935g","GO:0034641"
"CAGL0A00935g","GO:0046872"
"CAGL0A00935g","GO:0000398"
"CAGL0A00935g","GO:0003677"
"CAGL0A00935g","GO:0005634"
"CAGL0A00935g","GO:0005681"
"CAGL0A00935g","GO:0005684"
"CAGL0A00935g","GO:0006397"
"CAGL0A00935g","GO:0008380"
"CAGL0A00935g","GO:0034247"
"CAGL0A00979g","GO:0003735"
"CAGL0A00979g","GO:0005576"
"CAGL0A00979g","GO:0005840"
"CAGL0A00979g","GO:0006412"
"CAGL0A00979g","GO:0022625"
"CAGL0A00979g","GO:1990904"
"CAGL0A01001g","GO:0003674"
"CAGL0A01001g","GO:0005575"
"CAGL0A01001g","GO:0008150"
"CAGL0A01001g","GO:0016020"
"CAGL0A01001g","GO:0016021"
"CAGL0A01023g","GO:0000166"
"CAGL0A01023g","GO:0009435"
"CAGL0A01023g","GO:0016740"
"CAGL0A01023g","GO:0016779"
"CAGL0A01023g","GO:0019363"
"CAGL0A01023g","GO:0042802"
"CAGL0A01023g","GO:0070566"
"CAGL0A01023g","GO:0000309"
"CAGL0A01023g","GO:0003824"
"CAGL0A01023g","GO:0004515"
"CAGL0A01023g","GO:0005524"
"CAGL0A01023g","GO:0005575"
"CAGL0A01023g","GO:0005634"
"CAGL0A01023g","GO:0009058"
"CAGL0A01023g","GO:0009165"
"CAGL0A01045g","GO:0003824"
"CAGL0A01045g","GO:0006974"
"CAGL0A01045g","GO:0016829"
"CAGL0A01045g","GO:0045239"
"CAGL0A01045g","GO:0004333"
"CAGL0A01045g","GO:0005634"
"CAGL0A01045g","GO:0005739"
"CAGL0A01045g","GO:0005759"
"CAGL0A01045g","GO:0005829"
"CAGL0A01045g","GO:0006099"
"CAGL0A01045g","GO:0006106"
"CAGL0A01045g","GO:0006302"
"CAGL0A01067g","GO:0003674"
"CAGL0A01067g","GO:0005515"
"CAGL0A01067g","GO:0005575"
"CAGL0A01067g","GO:0008150"
"CAGL0A01089g","GO:0005575"
"CAGL0A01111g","GO:0000275"
"CAGL0A01111g","GO:0005756"
"CAGL0A01111g","GO:0015986"
"CAGL0A01111g","GO:0016887"
"CAGL0A01111g","GO:0046933"
"CAGL0A01111g","GO:0110165"
"CAGL0A01133g","GO:0000166"
"CAGL0A01133g","GO:0070301"
"CAGL0A01133g","GO:0090374"
"CAGL0A01133g","GO:0140359"
"CAGL0A01133g","GO:0005524"
"CAGL0A01133g","GO:0005743"
"CAGL0A01133g","GO:0005774"
"CAGL0A01133g","GO:0015421"
"CAGL0A01133g","GO:0016020"
"CAGL0A01133g","GO:0016021"
"CAGL0A01133g","GO:0016887"
"CAGL0A01133g","GO:0055085"
"CAGL0A01177g","GO:0000775"
"CAGL0A01177g","GO:0009395"
"CAGL0A01177g","GO:0016042"
"CAGL0A01177g","GO:0016787"
"CAGL0A01177g","GO:0032958"
"CAGL0A01177g","GO:0034501"
"CAGL0A01177g","GO:0034644"
"CAGL0A01177g","GO:0035556"
"CAGL0A01177g","GO:0000776"
"CAGL0A01177g","GO:0000778"
"CAGL0A01177g","GO:0001402"
"CAGL0A01177g","GO:0004435"
"CAGL0A01177g","GO:0005509"
"CAGL0A01177g","GO:0006629"
"CAGL0A01177g","GO:0007165"
"CAGL0A01177g","GO:0008081"
"CAGL0A01243g","GO:0016020"
"CAGL0A01243g","GO:0016021"
"CAGL0A01243g","GO:0022857"
"CAGL0A01243g","GO:0030643"
"CAGL0A01243g","GO:0055085"
"CAGL0A01540g","GO:0003723"
"CAGL0A01540g","GO:0062040"
"CAGL0A01540g","GO:1990904"
"CAGL0A01540g","GO:0003735"
"CAGL0A01540g","GO:0005576"
"CAGL0A01540g","GO:0005737"
"CAGL0A01540g","GO:0005840"
"CAGL0A01540g","GO:0006364"
"CAGL0A01540g","GO:0022625"
"CAGL0A01540g","GO:0030627"
"CAGL0A01540g","GO:0048025"
"CAGL0A01562g","GO:0005840"
"CAGL0A01562g","GO:0008150"
"CAGL0A01562g","GO:1990904"
"CAGL0A01584g","GO:0000752"
"CAGL0A01584g","GO:0009277"
"CAGL0A01584g","GO:0050839"
"CAGL0A01606g","GO:0000794"
"CAGL0A01606g","GO:0003690"
"CAGL0A01606g","GO:0005634"
"CAGL0A01606g","GO:0007129"
"CAGL0A01606g","GO:0007131"
"CAGL0A01606g","GO:0016020"
"CAGL0A01606g","GO:0090304"
"CAGL0A01628g","GO:0005634"
"CAGL0A01650g","GO:0003674"
"CAGL0A01650g","GO:0005575"
"CAGL0A01650g","GO:0008150"
"CAGL0A01694g","GO:0003674"
"CAGL0A01694g","GO:0005575"
"CAGL0A01694g","GO:0008150"
"CAGL0A01760g","GO:0000166"
"CAGL0A01760g","GO:0016874"
"CAGL0A01760g","GO:0032543"
"CAGL0A01760g","GO:0004812"
"CAGL0A01760g","GO:0004814"
"CAGL0A01760g","GO:0005524"
"CAGL0A01760g","GO:0005737"
"CAGL0A01760g","GO:0005739"
"CAGL0A01760g","GO:0006412"
"CAGL0A01760g","GO:0006418"
"CAGL0A01760g","GO:0006420"
"CAGL0A01826g","GO:0005353"
"CAGL0A01826g","GO:0022857"
"CAGL0A01826g","GO:0055085"
"CAGL0A01826g","GO:1904659"
"CAGL0A01826g","GO:0005355"
"CAGL0A01826g","GO:0008643"
"CAGL0A01826g","GO:0008645"
"CAGL0A01826g","GO:0015578"
"CAGL0A01826g","GO:0015755"
"CAGL0A01826g","GO:0015761"
"CAGL0A01826g","GO:0016020"
"CAGL0A01826g","GO:0016021"
"CAGL0A01958g","GO:0005737"
"CAGL0A01958g","GO:0030490"
"CAGL0A01958g","GO:0051082"
"CAGL0A01980g","GO:0000049"
"CAGL0A01980g","GO:0032543"
"CAGL0A01980g","GO:0000166"
"CAGL0A01980g","GO:0003743"
"CAGL0A01980g","GO:0003924"
"CAGL0A01980g","GO:0005525"
"CAGL0A01980g","GO:0005739"
"CAGL0A01980g","GO:0005759"
"CAGL0A01980g","GO:0006412"
"CAGL0A01980g","GO:0006413"
"CAGL0A02002g","GO:0003674"
"CAGL0A02002g","GO:0005575"
"CAGL0A02002g","GO:0008150"
"CAGL0A02024g","GO:0003674"
"CAGL0A02024g","GO:0005575"
"CAGL0A02090g","GO:0000166"
"CAGL0A02090g","GO:0106074"
"CAGL0A02090g","GO:0140101"
"CAGL0A02090g","GO:0002161"
"CAGL0A02090g","GO:0004812"
"CAGL0A02090g","GO:0004827"
"CAGL0A02090g","GO:0005524"
"CAGL0A02090g","GO:0005737"
"CAGL0A02090g","GO:0006418"
"CAGL0A02090g","GO:0006433"
"CAGL0A02090g","GO:0016874"
"CAGL0A02112g","GO:0000166"
"CAGL0A02112g","GO:0003676"
"CAGL0A02112g","GO:0004812"
"CAGL0A02112g","GO:0004816"
"CAGL0A02112g","GO:0005524"
"CAGL0A02112g","GO:0006418"
"CAGL0A02112g","GO:0006421"
"CAGL0A02112g","GO:0016874"
"CAGL0A02145g","GO:0005515"
"CAGL0A02145g","GO:0006897"
"CAGL0A02145g","GO:0030036"
"CAGL0A02145g","GO:0030479"
"CAGL0A02145g","GO:0051015"
"CAGL0A02145g","GO:0051017"
"CAGL0A02145g","GO:0051666"
"CAGL0A02189g","GO:0000166"
"CAGL0A02189g","GO:0004812"
"CAGL0A02189g","GO:0004814"
"CAGL0A02189g","GO:0005524"
"CAGL0A02189g","GO:0005737"
"CAGL0A02189g","GO:0006412"
"CAGL0A02189g","GO:0006418"
"CAGL0A02189g","GO:0006420"
"CAGL0A02189g","GO:0016874"
"CAGL0A02233g","GO:0005355"
"CAGL0A02233g","GO:0005886"
"CAGL0A02233g","GO:0016020"
"CAGL0A02233g","GO:0016021"
"CAGL0A02233g","GO:0022857"
"CAGL0A02233g","GO:0055085"
"CAGL0A02321g","GO:0008643"
"CAGL0A02321g","GO:0016020"
"CAGL0A02321g","GO:0016021"
"CAGL0A02321g","GO:0022857"
"CAGL0A02321g","GO:0055085"
"CAGL0A02387g","GO:0003735"
"CAGL0A02387g","GO:0004784"
"CAGL0A02387g","GO:0005763"
"CAGL0A02387g","GO:0005840"
"CAGL0A02387g","GO:0006801"
"CAGL0A02387g","GO:0019430"
"CAGL0A02387g","GO:0046872"
"CAGL0A02409g","GO:0003674"
"CAGL0A02409g","GO:0005938"
"CAGL0A02409g","GO:0008150"
"CAGL0A02475g","GO:0005739"
"CAGL0A02475g","GO:0005743"
"CAGL0A02475g","GO:0006417"
"CAGL0A02475g","GO:0016020"
"CAGL0A02475g","GO:0045182"
"CAGL0A02475g","GO:0070071"
"CAGL0A02475g","GO:0070131"
"CAGL0A02552g","GO:0000144"
"CAGL0A02552g","GO:0005937"
"CAGL0A02552g","GO:0007049"
"CAGL0A02552g","GO:0010314"
"CAGL0A02552g","GO:0030011"
"CAGL0A02552g","GO:0031105"
"CAGL0A02552g","GO:0032160"
"CAGL0A02552g","GO:0045860"
"CAGL0A02552g","GO:0051301"
"CAGL0A02552g","GO:0060090"
"CAGL0A02552g","GO:0070273"
"CAGL0A02552g","GO:0000166"
"CAGL0A02552g","GO:1903475"
"CAGL0A02552g","GO:0000921"
"CAGL0A02552g","GO:0003924"
"CAGL0A02552g","GO:0005200"
"CAGL0A02552g","GO:0005525"
"CAGL0A02552g","GO:0005575"
"CAGL0A02552g","GO:0005621"
"CAGL0A02552g","GO:0005935"
"CAGL0A02673g","GO:0000055"
"CAGL0A02673g","GO:0003674"
"CAGL0A02673g","GO:0005575"
"CAGL0A02673g","GO:0005634"
"CAGL0A02673g","GO:0005737"
"CAGL0A02673g","GO:0015031"
"CAGL0A02695g","GO:0000127"
"CAGL0A02695g","GO:0001002"
"CAGL0A02695g","GO:0001003"
"CAGL0A02695g","GO:0003677"
"CAGL0A02695g","GO:0005515"
"CAGL0A02695g","GO:0006383"
"CAGL0A02695g","GO:0042791"
"CAGL0A02728g","GO:0000502"
"CAGL0A02728g","GO:0030447"
"CAGL0A02728g","GO:0034515"
"CAGL0A02728g","GO:0035753"
"CAGL0A02728g","GO:0043161"
"CAGL0A02728g","GO:0043248"
"CAGL0A02728g","GO:0044183"
"CAGL0A02728g","GO:0051726"
"CAGL0A02728g","GO:0060090"
"CAGL0A02728g","GO:0070390"
"CAGL0A02728g","GO:0072742"
"CAGL0A02728g","GO:0000724"
"CAGL0A02728g","GO:0003674"
"CAGL0A02728g","GO:0005634"
"CAGL0A02728g","GO:0005829"
"CAGL0A02728g","GO:0006406"
"CAGL0A02728g","GO:0006457"
"CAGL0A02728g","GO:0006511"
"CAGL0A02728g","GO:0008541"
"CAGL0A02772g","GO:0000348"
"CAGL0A02772g","GO:0071013"
"CAGL0A02772g","GO:0071014"
"CAGL0A02772g","GO:0000350"
"CAGL0A02772g","GO:0000386"
"CAGL0A02772g","GO:0000389"
"CAGL0A02772g","GO:0000398"
"CAGL0A02772g","GO:0000974"
"CAGL0A02772g","GO:0005515"
"CAGL0A02772g","GO:0005681"
"CAGL0A02772g","GO:0034399"
"CAGL0A02794g","GO:0000139"
"CAGL0A02794g","GO:0006673"
"CAGL0A02794g","GO:0016020"
"CAGL0A02794g","GO:0030148"
"CAGL0A02794g","GO:0030173"
"CAGL0A02794g","GO:0070916"
"CAGL0A02794g","GO:0070917"
"CAGL0A02838g","GO:0005515"
"CAGL0A02882g","GO:0003674"
"CAGL0A02882g","GO:0008150"
"CAGL0A02882g","GO:0062040"
"CAGL0A02904g","GO:0000272"
"CAGL0A02904g","GO:0016021"
"CAGL0A02904g","GO:0016787"
"CAGL0A02904g","GO:0016798"
"CAGL0A02904g","GO:0030435"
"CAGL0A02904g","GO:0004553"
"CAGL0A02904g","GO:0004568"
"CAGL0A02904g","GO:0005575"
"CAGL0A02904g","GO:0005975"
"CAGL0A02904g","GO:0006032"
"CAGL0A02904g","GO:0008061"
"CAGL0A02904g","GO:0008152"
"CAGL0A02904g","GO:0016020"
"CAGL0A02970g","GO:0003723"
"CAGL0A02970g","GO:0003730"
"CAGL0A02970g","GO:0005737"
"CAGL0A02970g","GO:0019220"
"CAGL0A02970g","GO:0043488"
"CAGL0A02970g","GO:1990247"
"CAGL0A02992g","GO:0000166"
"CAGL0A02992g","GO:0051131"
"CAGL0A02992g","GO:0055085"
"CAGL0A02992g","GO:0071806"
"CAGL0A02992g","GO:0005524"
"CAGL0A02992g","GO:0005743"
"CAGL0A02992g","GO:0008320"
"CAGL0A02992g","GO:0016020"
"CAGL0A02992g","GO:0016887"
"CAGL0A02992g","GO:0032979"
"CAGL0A02992g","GO:0034551"
"CAGL0A02992g","GO:0042626"
"CAGL0A03014g","GO:0004324"
"CAGL0A03014g","GO:0005739"
"CAGL0A03014g","GO:0005743"
"CAGL0A03014g","GO:0006744"
"CAGL0A03014g","GO:0006879"
"CAGL0A03014g","GO:0008860"
"CAGL0A03014g","GO:0015039"
"CAGL0A03014g","GO:0016491"
"CAGL0A03014g","GO:0071949"
"CAGL0A03036g","GO:0000276"
"CAGL0A03036g","GO:0005743"
"CAGL0A03036g","GO:0015986"
"CAGL0A03036g","GO:0016887"
"CAGL0A03036g","GO:0046933"
"CAGL0A03051g","GO:0000290"
"CAGL0A03051g","GO:0006364"
"CAGL0A03051g","GO:0006807"
"CAGL0A03051g","GO:0008033"
"CAGL0A03051g","GO:0008380"
"CAGL0A03051g","GO:0030490"
"CAGL0A03051g","GO:0043170"
"CAGL0A03051g","GO:0044238"
"CAGL0A03051g","GO:0046540"
"CAGL0A03051g","GO:0120114"
"CAGL0A03051g","GO:1990726"
"CAGL0A03051g","GO:0000398"
"CAGL0A03051g","GO:1990904"
"CAGL0A03051g","GO:0000932"
"CAGL0A03051g","GO:0003723"
"CAGL0A03051g","GO:0005634"
"CAGL0A03051g","GO:0005681"
"CAGL0A03051g","GO:0005688"
"CAGL0A03051g","GO:0005730"
"CAGL0A03051g","GO:0005732"
"CAGL0A03080g","GO:0003674"
"CAGL0A03080g","GO:0005575"
"CAGL0A03080g","GO:0005739"
"CAGL0A03080g","GO:0034553"
"CAGL0A03117g","GO:0000346"
"CAGL0A03117g","GO:0003676"
"CAGL0A03117g","GO:0003723"
"CAGL0A03117g","GO:0005576"
"CAGL0A03117g","GO:0006283"
"CAGL0A03117g","GO:0006406"
"CAGL0A03117g","GO:1902281"
"CAGL0A03117g","GO:1990119"
"CAGL0A03146g","GO:0003674"
"CAGL0A03146g","GO:0005743"
"CAGL0A03146g","GO:0016020"
"CAGL0A03146g","GO:0031305"
"CAGL0A03146g","GO:0033617"
"CAGL0A03146g","GO:0034551"
"CAGL0A03146g","GO:0097250"
"CAGL0A03168g","GO:0002181"
"CAGL0A03168g","GO:0002182"
"CAGL0A03168g","GO:0003735"
"CAGL0A03168g","GO:0005829"
"CAGL0A03168g","GO:0005840"
"CAGL0A03168g","GO:0006414"
"CAGL0A03168g","GO:0022625"
"CAGL0A03168g","GO:0030295"
"CAGL0A03168g","GO:1990904"
"CAGL0A03212g","GO:0005886"
"CAGL0A03212g","GO:0008519"
"CAGL0A03212g","GO:0016020"
"CAGL0A03212g","GO:0016021"
"CAGL0A03212g","GO:0019740"
"CAGL0A03212g","GO:0055085"
"CAGL0A03212g","GO:0072488"
"CAGL0A03234g","GO:0000166"
"CAGL0A03234g","GO:0003746"
"CAGL0A03234g","GO:0003924"
"CAGL0A03234g","GO:0005525"
"CAGL0A03234g","GO:0005737"
"CAGL0A03234g","GO:0006412"
"CAGL0A03234g","GO:0006414"
"CAGL0A03234g","GO:0062040"
"CAGL0A03256g","GO:0000712"
"CAGL0A03256g","GO:0006281"
"CAGL0A03256g","GO:0006302"
"CAGL0A03256g","GO:0006308"
"CAGL0A03256g","GO:0006310"
"CAGL0A03256g","GO:0006974"
"CAGL0A03256g","GO:0007131"
"CAGL0A03256g","GO:0008821"
"CAGL0A03256g","GO:0016787"
"CAGL0A03256g","GO:0043596"
"CAGL0A03256g","GO:0046872"
"CAGL0A03256g","GO:0000727"
"CAGL0A03256g","GO:0048476"
"CAGL0A03256g","GO:0051097"
"CAGL0A03256g","GO:0051321"
"CAGL0A03256g","GO:1905347"
"CAGL0A03256g","GO:0003677"
"CAGL0A03256g","GO:0004518"
"CAGL0A03256g","GO:0004519"
"CAGL0A03256g","GO:0004520"
"CAGL0A03256g","GO:0004857"
"CAGL0A03256g","GO:0005634"
"CAGL0A03256g","GO:0006265"
"CAGL0A03278g","GO:0003723"
"CAGL0A03278g","GO:0003735"
"CAGL0A03278g","GO:0005576"
"CAGL0A03278g","GO:0005840"
"CAGL0A03278g","GO:0006412"
"CAGL0A03278g","GO:0022625"
"CAGL0A03278g","GO:1990904"
"CAGL0A03388g","GO:0003735"
"CAGL0A03388g","GO:0005840"
"CAGL0A03388g","GO:0006412"
"CAGL0A03388g","GO:0062040"
"CAGL0A03388g","GO:1990904"
"CAGL0A03498g","GO:0000404"
"CAGL0A03498g","GO:0032300"
"CAGL0A03498g","GO:0032390"
"CAGL0A03498g","GO:0061982"
"CAGL0A03498g","GO:0140664"
"CAGL0A03498g","GO:0000405"
"CAGL0A03498g","GO:0005524"
"CAGL0A03498g","GO:0005634"
"CAGL0A03498g","GO:0006298"
"CAGL0A03498g","GO:0006974"
"CAGL0A03498g","GO:0007131"
"CAGL0A03498g","GO:0016887"
"CAGL0A03498g","GO:0030983"
"CAGL0A03542g","GO:0004129"
"CAGL0A03542g","GO:0005576"
"CAGL0A03542g","GO:0005739"
"CAGL0A03542g","GO:0005751"
"CAGL0A03542g","GO:0005758"
"CAGL0A03542g","GO:0033617"
"CAGL0A03542g","GO:0045277"
"CAGL0A03564g","GO:0000139"
"CAGL0A03564g","GO:0034066"
"CAGL0A03564g","GO:0042147"
"CAGL0A03564g","GO:0043087"
"CAGL0A03564g","GO:0005085"
"CAGL0A03564g","GO:0005515"
"CAGL0A03564g","GO:0005794"
"CAGL0A03564g","GO:0005801"
"CAGL0A03564g","GO:0005829"
"CAGL0A03564g","GO:0006886"
"CAGL0A03564g","GO:0016020"
"CAGL0A03564g","GO:0032045"
"CAGL0A03586g","GO:0000749"
"CAGL0A03586g","GO:0003674"
"CAGL0A03586g","GO:0009277"
"CAGL0A03586g","GO:0016020"
"CAGL0A03586g","GO:0016021"
"CAGL0A03652g","GO:0000166"
"CAGL0A03652g","GO:0005730"
"CAGL0A03652g","GO:0006364"
"CAGL0A03652g","GO:0016787"
"CAGL0A03652g","GO:0016887"
"CAGL0A03652g","GO:0042254"
"CAGL0A03652g","GO:0042273"
"CAGL0A03652g","GO:0000463"
"CAGL0A03652g","GO:0000466"
"CAGL0A03652g","GO:0003676"
"CAGL0A03652g","GO:0003723"
"CAGL0A03652g","GO:0003724"
"CAGL0A03652g","GO:0004386"
"CAGL0A03652g","GO:0005524"
"CAGL0A03652g","GO:0005634"
"CAGL0A03674g","GO:0005634"
"CAGL0A03674g","GO:0005730"
"CAGL0A03674g","GO:0008150"
"CAGL0A03674g","GO:0008168"
"CAGL0A03674g","GO:0016433"
"CAGL0A03674g","GO:0016740"
"CAGL0A03674g","GO:0031167"
"CAGL0A03674g","GO:0032259"
"CAGL0A03740g","GO:0003997"
"CAGL0A03740g","GO:0050660"
"CAGL0A03740g","GO:0071949"
"CAGL0A03740g","GO:0005777"
"CAGL0A03740g","GO:0005782"
"CAGL0A03740g","GO:0006629"
"CAGL0A03740g","GO:0006631"
"CAGL0A03740g","GO:0006635"
"CAGL0A03740g","GO:0016491"
"CAGL0A03740g","GO:0016627"
"CAGL0A03740g","GO:0033540"
"CAGL0A03872g","GO:0000147"
"CAGL0A03872g","GO:0030479"
"CAGL0A03872g","GO:0043130"
"CAGL0A03872g","GO:0051179"
"CAGL0A03872g","GO:0005546"
"CAGL0A03872g","GO:0005769"
"CAGL0A03872g","GO:0005886"
"CAGL0A03872g","GO:0006897"
"CAGL0A03872g","GO:0007015"
"CAGL0A03872g","GO:0008289"
"CAGL0A03872g","GO:0030036"
"CAGL0A03872g","GO:0030276"
"CAGL0A03927g","GO:0005739"
"CAGL0A03927g","GO:0005774"
"CAGL0A03927g","GO:0031314"
"CAGL0A03927g","GO:0033617"
"CAGL0A03927g","GO:0045182"
"CAGL0A03927g","GO:0070131"
"CAGL0A04015g","GO:0000452"
"CAGL0A04015g","GO:0042254"
"CAGL0A04015g","GO:1990904"
"CAGL0A04015g","GO:0000494"
"CAGL0A04015g","GO:0003674"
"CAGL0A04015g","GO:0005634"
"CAGL0A04015g","GO:0005730"
"CAGL0A04015g","GO:0006364"
"CAGL0A04015g","GO:0030515"
"CAGL0A04015g","GO:0031428"
"CAGL0A04015g","GO:0032040"
"CAGL0A04103g","GO:0005743"
"CAGL0A04103g","GO:0005758"
"CAGL0A04103g","GO:0015914"
"CAGL0A04103g","GO:0031314"
"CAGL0A04103g","GO:0032048"
"CAGL0A04103g","GO:0045332"
"CAGL0A04103g","GO:0120009"
"CAGL0A04103g","GO:1990050"
"CAGL0A04103g","GO:2001247"
"CAGL0A04147g","GO:0005515"
"CAGL0A04147g","GO:0016560"
"CAGL0A04147g","GO:0030674"
"CAGL0A04147g","GO:1990429"
"CAGL0A04147g","GO:0005777"
"CAGL0A04147g","GO:0005778"
"CAGL0A04147g","GO:0006625"
"CAGL0A04147g","GO:0006631"
"CAGL0A04147g","GO:0008320"
"CAGL0A04147g","GO:0015031"
"CAGL0A04147g","GO:0016020"
"CAGL0A04147g","GO:0016021"
"CAGL0A04213g","GO:0000077"
"CAGL0A04213g","GO:0000086"
"CAGL0A04213g","GO:0003676"
"CAGL0A04213g","GO:0003723"
"CAGL0A04213g","GO:0005737"
"CAGL0A04257g","GO:0005575"
"CAGL0A04279g","GO:0004519"
"CAGL0A04279g","GO:0005575"
"CAGL0A04279g","GO:0006309"
"CAGL0A04279g","GO:0008296"
"CAGL0A04279g","GO:0016788"
"CAGL0A04279g","GO:0016888"
"CAGL0A04279g","GO:0034599"
"CAGL0A04279g","GO:0046483"
"CAGL0A04279g","GO:1901360"
"CAGL0A04301g","GO:0004721"
"CAGL0A04301g","GO:0004722"
"CAGL0A04301g","GO:0006470"
"CAGL0A04301g","GO:0016787"
"CAGL0A04301g","GO:0043169"
"CAGL0A04301g","GO:0046872"
"CAGL0A04411g","GO:0000131"
"CAGL0A04411g","GO:0005515"
"CAGL0A04411g","GO:0005935"
"CAGL0A04411g","GO:0008047"
"CAGL0A04411g","GO:0016020"
"CAGL0A04411g","GO:0034221"
"CAGL0A04433g","GO:0004601"
"CAGL0A04433g","GO:0062040"
"CAGL0A04433g","GO:0098869"
"CAGL0A04433g","GO:1903205"
"CAGL0A04433g","GO:0005739"
"CAGL0A04433g","GO:0008379"
"CAGL0A04433g","GO:0016209"
"CAGL0A04433g","GO:0016491"
"CAGL0A04433g","GO:0034599"
"CAGL0A04433g","GO:0045454"
"CAGL0A04433g","GO:0046686"
"CAGL0A04433g","GO:0051920"
