"Gene","GO"
"KLLA0D11352g","GO:0001678"
"KLLA0D11352g","GO:0004340"
"KLLA0D11352g","GO:0005524"
"KLLA0D11352g","GO:0005536"
"KLLA0D11352g","GO:0005739"
"KLLA0D11352g","GO:0005829"
"KLLA0D11352g","GO:0006006"
"KLLA0D11352g","GO:0006013"
"KLLA0D11352g","GO:0006096"
"KLLA0D11352g","GO:0008865"
"KLLA0D11352g","GO:0019158"
"KLLA0F06248g","GO:0003872"
"KLLA0F06248g","GO:0005524"
"KLLA0F06248g","GO:0005739"
"KLLA0F06248g","GO:0005945"
"KLLA0F06248g","GO:0006002"
"KLLA0F06248g","GO:0016208"
"KLLA0F06248g","GO:0030388"
"KLLA0F06248g","GO:0042802"
"KLLA0F06248g","GO:0046872"
"KLLA0F06248g","GO:0048029"
"KLLA0F06248g","GO:0061621"
"KLLA0F06248g","GO:0070095"
"KLLA0F19712g","GO:0003855"
"KLLA0F19712g","GO:0003856"
"KLLA0F19712g","GO:0003866"
"KLLA0F19712g","GO:0004764"
"KLLA0F19712g","GO:0004765"
"KLLA0F19712g","GO:0005524"
"KLLA0F19712g","GO:0005737"
"KLLA0F19712g","GO:0008652"
"KLLA0F19712g","GO:0009073"
"KLLA0F19712g","GO:0009423"
"KLLA0F19712g","GO:0046872"
"KLLA0F11209g","GO:0000123"
"KLLA0F11209g","GO:0003712"
"KLLA0F11209g","GO:0005634"
"KLLA0F11209g","GO:0006281"
"KLLA0F11209g","GO:0045892"
"KLLA0F11209g","GO:0045944"
"KLLA0F11209g","GO:0046972"
"KLLA0F11209g","GO:0106226"
"KLLA0F11209g","GO:0140064"
"KLLA0E24421g","GO:0003986"
"KLLA0E24421g","GO:0005739"
"KLLA0E24421g","GO:0016740"
"KLLA0E02245g","GO:0000166"
"KLLA0E02245g","GO:0003723"
"KLLA0E02245g","GO:0005634"
"KLLA0E02245g","GO:0005829"
"KLLA0E02245g","GO:0008409"
"KLLA0E02245g","GO:0034353"
"KLLA0E02245g","GO:0046872"
"KLLA0E02245g","GO:0071028"
"KLLA0E02245g","GO:0090304"
"KLLA0E02245g","GO:0110152"
"KLLA0E02245g","GO:0110155"
"KLLA0C01452g","GO:0000105"
"KLLA0C01452g","GO:0004399"
"KLLA0C01452g","GO:0004635"
"KLLA0C01452g","GO:0004636"
"KLLA0C01452g","GO:0005524"
"KLLA0C01452g","GO:0046872"
"KLLA0C01452g","GO:0051287"
"KLLA0D04796g","GO:0001522"
"KLLA0D04796g","GO:0003677"
"KLLA0D04796g","GO:0003723"
"KLLA0D04796g","GO:0005730"
"KLLA0D04796g","GO:0005874"
"KLLA0D04796g","GO:0006364"
"KLLA0D04796g","GO:0106032"
"KLLA0D04796g","GO:1990904"
"KLLA0C05940g","GO:0004622"
"KLLA0C05940g","GO:0005576"
"KLLA0C05940g","GO:0009395"
"KLLA0D19811g","GO:0004252"
"KLLA0D19811g","GO:0005802"
"KLLA0D19811g","GO:0016020"
"KLLA0D19811g","GO:0016485"
"KLLA0F08415g","GO:0003978"
"KLLA0F08415g","GO:0004034"
"KLLA0F08415g","GO:0006012"
"KLLA0F08415g","GO:0030246"
"KLLA0D09559g","GO:0005524"
"KLLA0D09559g","GO:0005634"
"KLLA0D09559g","GO:0005788"
"KLLA0D09559g","GO:0016020"
"KLLA0D09559g","GO:0016887"
"KLLA0D09559g","GO:0030968"
"KLLA0D09559g","GO:0034663"
"KLLA0D09559g","GO:0140662"
"KLLA0D03322g","GO:0003677"
"KLLA0D03322g","GO:0003700"
"KLLA0D03322g","GO:0005634"
"KLLA0D03322g","GO:0032993"
"KLLA0D03322g","GO:0043565"
"KLLA0A05434g","GO:0000126"
"KLLA0A05434g","GO:0000995"
"KLLA0A05434g","GO:0001006"
"KLLA0A05434g","GO:0005634"
"KLLA0A05434g","GO:0017025"
"KLLA0A05434g","GO:0046872"
"KLLA0A05434g","GO:0070897"
"KLLA0A05434g","GO:0097550"
"KLLA0A06732g","GO:0004161"
"KLLA0A06732g","GO:0004337"
"KLLA0A06732g","GO:0005737"
"KLLA0A06732g","GO:0033384"
"KLLA0A06732g","GO:0045337"
"KLLA0A06732g","GO:0046872"
"KLLA0D10703g","GO:0005524"
"KLLA0D10703g","GO:0005743"
"KLLA0D10703g","GO:0016887"
"KLLA0D10703g","GO:0045261"
"KLLA0D10703g","GO:0046933"
"KLLA0D10703g","GO:0046961"
"KLLA0A09031g","GO:0005524"
"KLLA0A09031g","GO:0005886"
"KLLA0A09031g","GO:0008553"
"KLLA0A09031g","GO:0016887"
"KLLA0A09031g","GO:0046872"
"KLLA0A09031g","GO:0051453"
"KLLA0A09031g","GO:0120029"
"KLLA0D10956g","GO:0001664"
"KLLA0D10956g","GO:0003924"
"KLLA0D10956g","GO:0005525"
"KLLA0D10956g","GO:0005834"
"KLLA0D10956g","GO:0007186"
"KLLA0D10956g","GO:0031683"
"KLLA0D10956g","GO:0046872"
"KLLA0E08591g","GO:0000786"
"KLLA0E08591g","GO:0003677"
"KLLA0E08591g","GO:0005634"
"KLLA0E08591g","GO:0009303"
"KLLA0E08591g","GO:0030527"
"KLLA0E08591g","GO:0046982"
"KLLA0E17677g","GO:0000786"
"KLLA0E17677g","GO:0003677"
"KLLA0E17677g","GO:0005634"
"KLLA0E17677g","GO:0009303"
"KLLA0E17677g","GO:0030527"
"KLLA0E17677g","GO:0046982"
"KLLA0D18304g","GO:0003735"
"KLLA0D18304g","GO:0005634"
"KLLA0D18304g","GO:0005737"
"KLLA0D18304g","GO:0005840"
"KLLA0D18304g","GO:0006412"
"KLLA0D18304g","GO:0016567"
"KLLA0D18304g","GO:0019941"
"KLLA0D18304g","GO:0031386"
"KLLA0D18304g","GO:0031625"
"KLLA0D18304g","GO:0046872"
"KLLA0D18304g","GO:1990904"
"KLLA0F16555g","GO:0005750"
"KLLA0F16555g","GO:0006122"
"KLLA0F16555g","GO:0008121"
"KLLA0F16555g","GO:0020037"
"KLLA0F16555g","GO:0046872"
"KLLA0A05544g","GO:0003872"
"KLLA0A05544g","GO:0005524"
"KLLA0A05544g","GO:0005737"
"KLLA0A05544g","GO:0006002"
"KLLA0A05544g","GO:0046872"
"KLLA0B08822g","GO:0003825"
"KLLA0B08822g","GO:0004805"
"KLLA0B08822g","GO:0005829"
"KLLA0B08822g","GO:0005946"
"KLLA0B08822g","GO:0005992"
"KLLA0B08822g","GO:0034605"
"KLLA0B08822g","GO:0070413"
"KLLA0F27181g","GO:0003677"
"KLLA0F27181g","GO:0003678"
"KLLA0F27181g","GO:0005524"
"KLLA0F27181g","GO:0005634"
"KLLA0F27181g","GO:0006139"
"KLLA0F27181g","GO:0006974"
"KLLA0F27181g","GO:0016853"
"KLLA0F27181g","GO:0016887"
"KLLA0F27181g","GO:0032991"
"KLLA0F27181g","GO:0034085"
"KLLA0F27181g","GO:0046872"
"KLLA0F27181g","GO:0051536"
"KLLA0F26268g","GO:0004042"
"KLLA0F26268g","GO:0004358"
"KLLA0F26268g","GO:0005759"
"KLLA0F26268g","GO:0006526"
"KLLA0F26268g","GO:0006592"
"KLLA0F26268g","GO:0103045"
"KLLA0F24134g","GO:0003723"
"KLLA0F24134g","GO:0005694"
"KLLA0F24134g","GO:0032259"
"KLLA0F24134g","GO:0048188"
"KLLA0F24134g","GO:0140999"
"KLLA0F20053g","GO:0004707"
"KLLA0F20053g","GO:0005524"
"KLLA0F20053g","GO:0005634"
"KLLA0F20053g","GO:0005737"
"KLLA0F20053g","GO:0007231"
"KLLA0F20053g","GO:0034599"
"KLLA0F20053g","GO:0051403"
"KLLA0F20053g","GO:0106310"
"KLLA0F15950g","GO:0003723"
"KLLA0F15950g","GO:0003724"
"KLLA0F15950g","GO:0005524"
"KLLA0F15950g","GO:0005643"
"KLLA0F15950g","GO:0005737"
"KLLA0F15950g","GO:0015031"
"KLLA0F15950g","GO:0016887"
"KLLA0F15950g","GO:0031965"
"KLLA0F15950g","GO:0051028"
"KLLA0F14927g","GO:0000139"
"KLLA0F14927g","GO:0004609"
"KLLA0F14927g","GO:0005795"
"KLLA0F14927g","GO:0006646"
"KLLA0F14927g","GO:0010008"
"KLLA0F14927g","GO:0016540"
"KLLA0F13310g","GO:0003677"
"KLLA0F13310g","GO:0005634"
"KLLA0F13310g","GO:0030527"
"KLLA0F13310g","GO:0043505"
"KLLA0F13310g","GO:0046982"
"KLLA0F10087g","GO:0000727"
"KLLA0F10087g","GO:0003688"
"KLLA0F10087g","GO:0003697"
"KLLA0F10087g","GO:0005524"
"KLLA0F10087g","GO:0005656"
"KLLA0F10087g","GO:0005737"
"KLLA0F10087g","GO:0006267"
"KLLA0F10087g","GO:0006268"
"KLLA0F10087g","GO:0006270"
"KLLA0F10087g","GO:0006279"
"KLLA0F10087g","GO:0016887"
"KLLA0F10087g","GO:0031298"
"KLLA0F10087g","GO:0042555"
"KLLA0F10087g","GO:0071162"
"KLLA0F10087g","GO:1902969"
