"Gene","GO"
"YAL002W","GO:0005515"
"YAL002W","GO:0016020"
"YAL002W","GO:0016192"
"YAL002W","GO:0030897"
"YAL002W","GO:0031901"
"YAL002W","GO:0032511"
"YAL002W","GO:0032889"
"YAL002W","GO:0033263"
"YAL002W","GO:0034058"
"YAL002W","GO:0035542"
"YAL002W","GO:0042144"
"YAL002W","GO:0005768"
"YAL002W","GO:0043495"
"YAL002W","GO:0046872"
"YAL002W","GO:0051020"
"YAL002W","GO:0098588"
"YAL002W","GO:0099022"
"YAL002W","GO:0099023"
"YAL002W","GO:0005770"
"YAL002W","GO:0005794"
"YAL002W","GO:0005795"
"YAL002W","GO:0006623"
"YAL002W","GO:0006886"
"YAL002W","GO:0008270"
"YAL002W","GO:0015031"
"YAL003W","GO:0003746"
"YAL003W","GO:0006449"
"YAL003W","GO:0032232"
"YAL003W","GO:1990145"
"YAL003W","GO:0005085"
"YAL003W","GO:0005515"
"YAL003W","GO:0005737"
"YAL003W","GO:0005829"
"YAL003W","GO:0005840"
"YAL003W","GO:0005853"
"YAL003W","GO:0006412"
"YAL003W","GO:0006414"
"YAL005C","GO:0000049"
"YAL005C","GO:0005634"
"YAL005C","GO:0005737"
"YAL005C","GO:0005829"
"YAL005C","GO:0005844"
"YAL005C","GO:0005886"
"YAL005C","GO:0006457"
"YAL005C","GO:0006606"
"YAL005C","GO:0006616"
"YAL005C","GO:0006626"
"YAL005C","GO:0009277"
"YAL005C","GO:0000060"
"YAL005C","GO:0016887"
"YAL005C","GO:0017053"
"YAL005C","GO:0031072"
"YAL005C","GO:0035617"
"YAL005C","GO:0042026"
"YAL005C","GO:0043161"
"YAL005C","GO:0044183"
"YAL005C","GO:0045892"
"YAL005C","GO:0051082"
"YAL005C","GO:0051085"
"YAL005C","GO:0000166"
"YAL005C","GO:0070482"
"YAL005C","GO:0072318"
"YAL005C","GO:0072671"
"YAL005C","GO:0090344"
"YAL005C","GO:0140662"
"YAL005C","GO:0000209"
"YAL005C","GO:0000329"
"YAL005C","GO:0002181"
"YAL005C","GO:0005515"
"YAL005C","GO:0005524"
"YAL005C","GO:0005576"
"YAL007C","GO:0003674"
"YAL007C","GO:0006888"
"YAL007C","GO:0006900"
"YAL007C","GO:0007030"
"YAL007C","GO:0015031"
"YAL007C","GO:0016020"
"YAL007C","GO:0016021"
"YAL007C","GO:0016192"
"YAL007C","GO:0030134"
"YAL007C","GO:0005515"
"YAL007C","GO:0005783"
"YAL007C","GO:0005789"
"YAL007C","GO:0005793"
"YAL007C","GO:0005794"
"YAL007C","GO:0005798"
"YAL007C","GO:0006621"
"YAL007C","GO:0006886"
"YAL008W","GO:0000422"
"YAL008W","GO:0003674"
"YAL008W","GO:0005739"
"YAL008W","GO:0005741"
"YAL008W","GO:0007005"
"YAL008W","GO:0016020"
"YAL008W","GO:0031307"
"YAL008W","GO:0055091"
"YAL012W","GO:0003824"
"YAL012W","GO:0019346"
"YAL012W","GO:0030170"
"YAL012W","GO:0044540"
"YAL012W","GO:0047804"
"YAL012W","GO:0071266"
"YAL012W","GO:0080146"
"YAL012W","GO:1904828"
"YAL012W","GO:0003962"
"YAL012W","GO:0004123"
"YAL012W","GO:0005634"
"YAL012W","GO:0005737"
"YAL012W","GO:0008652"
"YAL012W","GO:0016829"
"YAL012W","GO:0019343"
"YAL012W","GO:0019344"
"YAL019W","GO:0000122"
"YAL019W","GO:0005524"
"YAL019W","GO:0005634"
"YAL019W","GO:0005694"
"YAL019W","GO:0005739"
"YAL019W","GO:0006281"
"YAL019W","GO:0006325"
"YAL019W","GO:0006338"
"YAL019W","GO:0006348"
"YAL019W","GO:0006974"
"YAL019W","GO:0008094"
"YAL019W","GO:0000166"
"YAL019W","GO:0016569"
"YAL019W","GO:0016584"
"YAL019W","GO:0016787"
"YAL019W","GO:0016887"
"YAL019W","GO:0030466"
"YAL019W","GO:0031507"
"YAL019W","GO:0031509"
"YAL019W","GO:0031934"
"YAL019W","GO:0033120"
"YAL019W","GO:0042766"
