orth_group,num,B,X0.5,X1,X1.5,X2,X3,X4,X6,X8
2,1,0.020002307,0.222496473,0.128086413,0.037636905,0.050499861,0.235126519,0.378442083,0.407348843,0.36882462
2,2,0.039251918,0.104927085,0.003911143,0.006173789,0.013285071,0.03623259,0.059073002,0.076842423,0.084548633
2,3,0.058650094,0.319183814,0.013341296,0.033176533,0.099855236,0.110620185,0.105539641,0.1233614,0.127814592
3,1,0.157149903,0.161503714,0.142713795,0.155839602,0.165836039,0.215795136,0.220137414,0.198501253,0.228850327
3,2,0.14679654,0.141330135,0.317753195,0.336859663,0.322800827,0.288034715,0.296169,0.305199561,0.307833955
3,3,0.145002271,0.084035193,0.175038917,0.187283311,0.166262685,0.162019158,0.167435491,0.165783346,0.175067533
4,1,0.15920044,0.137064304,0.153052464,0.213873506,0.227609033,0.227385746,0.220496267,0.189813762,0.19253469
4,2,0.075666506,0.098142424,0.104524841,0.105038533,0.10858109,0.112421588,0.104442327,0.106814474,0.092451413
5,1,0.208402584,0.253965163,0.301036169,0.277620699,0.27676794,0.22053444,0.241921769,0.329512458,0.352837611
5,2,0.465782756,0.407812968,0.785034354,0.956804212,0.980276156,0.916070329,0.79245433,0.716841775,0.652304653
5,3,0.199351227,0.185337763,0.48345242,0.446445557,0.525714871,0.544775404,0.518878096,0.455292146,0.407553619
6,1,0.155505516,0.039263813,0.061281703,0.115431942,0.112356049,0.130302282,0.128342631,0.112554982,0.132760963
6,2,0.124143005,0.126508816,0.325960007,0.371611937,0.341696345,0.264580397,0.278117695,0.350504461,0.325213476
6,3,0.342303853,0.086849772,0.484553128,0.489369192,0.424475224,0.482672962,0.462938617,0.511480001,0.514628025
7,1,0.6270866,0.496492908,0.521176476,0.601391124,0.533081175,0.494102019,0.468062789,0.411276973,0.380227345
7,2,0.472256171,0.436650063,0.651423805,0.612993264,0.581549501,0.564445178,0.473573987,0.413841904,0.382122936
7,3,0.734707376,0.435330465,0.890202877,1.010620096,0.886929446,0.727448971,0.66862202,0.638898265,0.562898623
7,4,0.536941262,0.363607374,0.503837434,0.562601552,0.502690834,0.388567246,0.32538904,0.265893994,0.233575046
8,1,1.219014997,0.775500182,1.181856452,1.176554983,0.942718176,0.623847128,0.571203127,0.545071421,0.552140615
8,2,0.830072643,1.101633845,0.233028949,0.210105897,0.257122316,0.383173442,0.47034153,0.500855594,0.469188417
8,3,0.95340183,1.903473675,0.675758294,0.508237847,0.56505064,0.532267563,0.52689454,0.50048759,0.506202362
8,4,0.601516878,1.544484537,1.163097409,0.788262778,0.703486075,0.81941152,0.763608792,0.700212214,0.7044892
9,1,0.005450022,0.010297248,0.015944333,0.014527307,0.012867763,0.019555236,0.026193422,0.03961665,0.044745644
10,1,0.002824839,0.002342473,0.003622773,0.003485601,0.004575887,0.005691083,0.007306214,0.010610505,0.012495199
11,1,0.040123661,0.071288876,0.069055602,0.064935486,0.056705838,0.076431366,0.080700345,0.117595444,0.117857229
11,2,0.077957738,0.101445485,0.182620567,0.240987398,0.223624091,0.254379922,0.250049703,0.276021936,0.256872929
11,3,0.070978093,0.052582583,0.072582611,0.088326315,0.082713481,0.085302786,0.086678176,0.089281027,0.097766325
11,4,0.079674282,0.03597017,0.059177029,0.068036092,0.055603883,0.05566918,0.050207457,0.06618932,0.066250192
12,1,0.0244951,0.021130438,0.027869261,0.024195908,0.024722415,0.028276127,0.033352561,0.044087669,0.049424506
13,1,0.443325298,0.554564059,0.443548663,0.351578395,0.437733681,0.432158856,0.341619345,0.248133956,0.249522841
13,2,0.7905588,0.712041208,0.485730211,0.3418398,0.312133825,0.30503833,0.328852247,0.338199338,0.297813016
13,3,0.472216581,0.71976457,0.523124364,0.515301251,0.393060486,0.373001729,0.366726139,0.318018044,0.274319705
13,4,1.341699585,0.372419988,0.676054785,1.208890686,1.49229681,0.832331605,0.897358293,0.702718479,0.569456608
14,1,0.404712614,0.75807618,0.612189704,0.408313027,0.481178525,0.683193096,0.534484798,0.407192305,0.362727655
14,2,0.489812232,0.371400728,0.526861587,0.413876203,0.433482522,0.44352676,0.398315017,0.313845995,0.292297097
14,3,0.492071928,0.249975112,0.501642362,0.516743389,0.476004362,0.467226852,0.463367516,0.46093115,0.483264004
14,4,0.538187304,0.148595063,0.205285715,0.311718358,0.292620067,0.223545257,0.183698585,0.179222811,0.178747653
15,1,0.03462686,0.057209928,0.053910475,0.045380577,0.046718278,0.062396327,0.07758634,0.097435765,0.109117497
15,2,0.091999312,0.071421559,0.18881387,0.17921842,0.165212049,0.13939027,0.150747057,0.154482509,0.169502869
15,3,0.30461675,0.200464203,0.346796395,0.434098407,0.456313215,0.474357947,0.49728501,0.504519375,0.516628431
16,1,0.23679703,0.420949104,0.412710354,0.32618975,0.236141516,0.216151929,0.203014519,0.186777527,0.18011414
16,2,0.151662328,0.188282899,0.496274224,0.348584559,0.267503477,0.174179298,0.130790582,0.113498699,0.086069064
16,3,0.156150279,0.370295525,0.133121268,0.084905169,0.086814401,0.099799661,0.107469513,0.124210475,0.129464075
17,1,0.175034922,0.165717321,0.15219456,0.146550205,0.144444233,0.160188241,0.159889526,0.152854303,0.158960438
18,1,0.322526744,0.303143393,0.29212736,0.351322661,0.354611805,0.274392731,0.250886184,0.240168445,0.223366935
18,2,0.367761274,0.306929878,0.458571019,0.382401418,0.369045356,0.290490189,0.263178131,0.25099408,0.225397313
18,3,0.169845829,0.183070376,0.191765577,0.218643701,0.249758198,0.254678472,0.251141312,0.247307022,0.25143515
19,1,0.027120283,0.149012036,0.0859602,0.052273432,0.071577908,0.212216602,0.248925886,0.316699587,0.324882079
20,1,0.093364322,0.049965529,0.071457717,0.075427922,0.089525381,0.147590553,0.156023718,0.170357958,0.174113953
22,1,0.019692179,0.019429288,0.017990522,0.018824477,0.016954629,0.022833721,0.030927687,0.045265563,0.048166523
23,1,0.055640291,0.034646397,0.055031775,0.077230316,0.09176519,0.080936645,0.0775819,0.085891892,0.083977401
23,2,0.166585922,0.1591218,0.272819576,0.305290424,0.28602317,0.215753201,0.234254424,0.2445166,0.241642343
23,3,0.105583424,0.05402533,0.135643907,0.137723063,0.128347094,0.122758358,0.125199547,0.124173589,0.107684597
24,1,0.136813418,0.371360356,0.160489996,0.156548778,0.234098607,0.401625779,0.465234193,0.540162609,0.507156498
24,2,0.017078182,0.055231789,0.03444889,0.02773428,0.038568001,0.148850303,0.216240532,0.390061041,0.455639415
24,3,0.602574246,0.533267389,1.293873717,1.291080591,1.37364008,1.175393015,1.386453487,1.377626291,1.290386354
24,4,0.611521715,0.216645062,0.511207416,0.677635598,0.561093227,0.511601791,0.50104484,0.41780042,0.402685103
24,5,0.339145454,0.480563162,0.751384064,0.708750187,0.635835696,0.560830355,0.498884191,0.491630067,0.485937705
25,1,0.080783069,0.18750027,0.113951257,0.090765567,0.126094001,0.280918067,0.340300607,0.432062221,0.512677447
25,2,0.02341054,0.02666502,0.161778721,0.232614101,0.350430066,0.384518477,0.400460412,0.383426563,0.413595274
25,3,0.140420084,0.076310749,0.244778241,0.286957338,0.222957612,0.171583818,0.181359568,0.197426073,0.212379017
26,1,0.200468724,0.544132024,0.355238915,0.18665064,0.208519551,0.548099208,0.541011461,0.494361434,0.497594259
26,2,0.399051643,0.442373789,0.875644207,0.785344773,0.620226251,0.60542194,0.613978878,0.536330126,0.511195357
26,3,0.525737067,0.671468121,0.638000193,0.832069492,0.989798211,0.991534673,1.070984906,1.226052398,1.430690776
27,1,0.021924661,0.012010447,0.024090211,0.040365177,0.027803181,0.025029714,0.040765321,0.047423587,0.04896785
27,2,0.050983933,0.017923848,0.039948855,0.052435563,0.071210001,0.083357396,0.097967644,0.105063624,0.118435663
27,3,0.045109325,0.023114969,0.043228571,0.043650361,0.049859301,0.051770753,0.050550737,0.049685667,0.04573854
28,1,0.062341534,0.063168495,0.066605681,0.064152282,0.054862639,0.057896569,0.073660496,0.081029536,0.100859595
29,1,0.04525742,0.035420124,0.034774097,0.032231373,0.03046748,0.043261683,0.052375808,0.070010267,0.077938309
30,1,0.050606597,0.033526267,0.06306182,0.083251068,0.056803379,0.048044813,0.062917611,0.061100628,0.066001796
30,2,0.059437896,0.047321469,0.049294823,0.04755864,0.062132846,0.069007618,0.075243493,0.073154633,0.068543222
30,3,0.074655131,0.032740131,0.084196678,0.094285505,0.108836558,0.120515226,0.128349101,0.128620484,0.1237781
30,4,0.049009788,0.022187979,0.030582027,0.044600949,0.035806958,0.047717115,0.049082089,0.049402261,0.055889657
33,1,0.012227127,0.010785014,0.012036775,0.014625061,0.011880077,0.01312287,0.018962747,0.020784436,0.022692958
33,2,0.050772518,0.082061414,0.059219462,0.054094553,0.057021616,0.056972142,0.059348217,0.059990111,0.05208221
34,1,0.112490856,0.057586304,0.109550575,0.097360161,0.079966013,0.055076526,0.05673184,0.044399235,0.048577128
34,2,0.061998374,0.109639893,0.099067587,0.078111563,0.095787795,0.129963691,0.154373698,0.168532518,0.163869485
34,3,0.17194946,0.136869245,0.241081672,0.220387393,0.215646399,0.209041501,0.226388925,0.280884403,0.339277936
34,4,0.140022415,0.149134568,0.134055177,0.22783595,0.202972592,0.196777921,0.231530675,0.193622503,0.219352259
35,1,0.084477037,0.106308546,0.095393868,0.100074761,0.093905631,0.103813717,0.109985505,0.111682142,0.116840051
35,2,0.098495474,0.104935051,0.115645323,0.146249003,0.188446075,0.199144865,0.215159099,0.198836648,0.208670276
35,3,0.084193138,0.107148764,0.053904912,0.054080031,0.06093856,0.060263237,0.060560066,0.054492889,0.050255872
35,4,0.096632391,0.06320739,0.058564801,0.097991118,0.103142672,0.098640539,0.111953593,0.101130799,0.101807472
36,1,0.030786625,0.057492958,0.049701469,0.041763858,0.051978707,0.0670596,0.068595361,0.065658857,0.074175436
37,1,0.15275321,0.194293942,0.112137617,0.092604547,0.094616481,0.116204269,0.141130712,0.134812969,0.116981897
37,2,0.162658429,0.148874166,0.150429582,0.185361438,0.185420773,0.179622237,0.172838853,0.17155322,0.156484831
38,1,0.046223386,0.055249063,0.022952027,0.014529047,0.019369261,0.039649326,0.048133203,0.04877555,0.043133545
38,2,0.033297002,0.037802426,0.031844205,0.02918943,0.028205909,0.027411841,0.023239055,0.019652133,0.018009277
